,country,year,type,TN,TP,accuracy
4992,PL,2004,DT,0.5619834710743802,0.45495495495495497,0.542016806722689
4997,PL,2004,DT,0.5619834710743802,0.45495495495495497,0.542016806722689
4993,PL,2004,LDA,0.5619834710743802,0.45495495495495497,0.542016806722689
4998,PL,2004,LDA,0.5619834710743802,0.45495495495495497,0.542016806722689
4991,PL,2004,LR,0.5619834710743802,0.45495495495495497,0.542016806722689
4996,PL,2004,LR,0.5619834710743802,0.45495495495495497,0.542016806722689
4990,PL,2004,LR - Youden's J,0.6888020833333334,0.6777251184834123,0.542016806722689
4995,PL,2004,LR - Youden's J,0.6888020833333334,0.6777251184834123,0.542016806722689
4994,PL,2004,NB,0.5619834710743802,0.45495495495495497,0.4084033613445378
4999,PL,2004,NB,0.5619834710743802,0.45495495495495497,0.4084033613445378
5002,PL,2005,DT,0.5499866702212743,0.5159362549800797,0.5427970557308097
5007,PL,2005,DT,0.5499866702212743,0.5159362549800797,0.5427970557308097
5003,PL,2005,LDA,0.5499866702212743,0.5159362549800797,0.5427970557308097
5008,PL,2005,LDA,0.5499866702212743,0.5159362549800797,0.5427970557308097
5001,PL,2005,LR,0.5635830445214609,0.48406374501992033,0.5467928496319664
5006,PL,2005,LR,0.5635830445214609,0.48406374501992033,0.5467928496319664
5000,PL,2005,LR - Youden's J,0.6949371170590132,0.711608222490931,0.5467928496319664
5005,PL,2005,LR - Youden's J,0.6949371170590132,0.711608222490931,0.5467928496319664
5004,PL,2005,NB,0.5499866702212743,0.5159362549800797,0.45573080967402735
5009,PL,2005,NB,0.5499866702212743,0.5159362549800797,0.45573080967402735
5012,PL,2006,DT,0.5498652291105122,0.466728280961183,0.531093489148581
5017,PL,2006,DT,0.5498652291105122,0.466728280961183,0.531093489148581
5013,PL,2006,LDA,0.5498652291105122,0.466728280961183,0.531093489148581
5018,PL,2006,LDA,0.5498652291105122,0.466728280961183,0.531093489148581
5011,PL,2006,LR,0.5498652291105122,0.466728280961183,0.531093489148581
5016,PL,2006,LR,0.5498652291105122,0.466728280961183,0.531093489148581
5010,PL,2006,LR - Youden's J,0.68727971803909,0.7175344105326152,0.531093489148581
5015,PL,2006,LR - Youden's J,0.68727971803909,0.7175344105326152,0.531093489148581
5014,PL,2006,NB,0.5498652291105122,0.466728280961183,0.4549248747913189
5019,PL,2006,NB,0.5498652291105122,0.466728280961183,0.4549248747913189
5022,PL,2007,DT,0.5333333333333333,0.4768153980752406,0.5193142361111112
5027,PL,2007,DT,0.5333333333333333,0.4768153980752406,0.5193142361111112
5023,PL,2007,LDA,0.5258297258297259,0.5021872265966754,0.5199652777777778
5028,PL,2007,LDA,0.5258297258297259,0.5021872265966754,0.5199652777777778
5021,PL,2007,LR,0.5333333333333333,0.4768153980752406,0.5193142361111112
5026,PL,2007,LR,0.5333333333333333,0.4768153980752406,0.5193142361111112
5020,PL,2007,LR - Youden's J,0.6850681742600598,0.7589006870705809,0.5193142361111112
5025,PL,2007,LR - Youden's J,0.6850681742600598,0.7589006870705809,0.5193142361111112
5024,PL,2007,NB,0.5258297258297259,0.5021872265966754,0.4542100694444444
5029,PL,2007,NB,0.5258297258297259,0.5021872265966754,0.4542100694444444
5032,PL,2008,DT,0.5396739130434782,0.4537968892955169,0.5200083804734967
5037,PL,2008,DT,0.5396739130434782,0.4537968892955169,0.5200083804734967
5033,PL,2008,LDA,0.5396739130434782,0.4537968892955169,0.5200083804734967
5038,PL,2008,LDA,0.5396739130434782,0.4537968892955169,0.5200083804734967
5031,PL,2008,LR,0.5396739130434782,0.4537968892955169,0.5200083804734967
5036,PL,2008,LR,0.5396739130434782,0.4537968892955169,0.5200083804734967
5030,PL,2008,LR - Youden's J,0.7043308368609573,0.7532314923619271,0.5200083804734967
5035,PL,2008,LR - Youden's J,0.7043308368609573,0.7532314923619271,0.5200083804734967
5034,PL,2008,NB,0.5396739130434782,0.4537968892955169,0.4703540750052378
5039,PL,2008,NB,0.5396739130434782,0.4537968892955169,0.4703540750052378
5042,PL,2009,DT,0.5261333333333333,0.44741379310344825,0.5075356415478615
5047,PL,2009,DT,0.5261333333333333,0.44741379310344825,0.5075356415478615
5043,PL,2009,LDA,0.5261333333333333,0.44741379310344825,0.5075356415478615
5048,PL,2009,LDA,0.5261333333333333,0.44741379310344825,0.5075356415478615
5041,PL,2009,LR,0.7562666666666666,0.1793103448275862,0.619959266802444
5046,PL,2009,LR,0.7562666666666666,0.1793103448275862,0.619959266802444
5040,PL,2009,LR - Youden's J,0.8665620094191523,0.40405797101449276,0.619959266802444
5045,PL,2009,LR - Youden's J,0.8665620094191523,0.40405797101449276,0.619959266802444
5044,PL,2009,NB,0.5261333333333333,0.44741379310344825,0.44378818737270875
5049,PL,2009,NB,0.5261333333333333,0.44741379310344825,0.44378818737270875
5052,PL,2010,DT,0.7371928363182008,0.185,0.607997447623099
5057,PL,2010,DT,0.7371928363182008,0.185,0.607997447623099
5053,PL,2010,LDA,0.7371928363182008,0.185,0.607997447623099
5058,PL,2010,LDA,0.7371928363182008,0.185,0.607997447623099
5051,PL,2010,LR,0.7371928363182008,0.185,0.607997447623099
5056,PL,2010,LR,0.7371928363182008,0.185,0.607997447623099
5050,PL,2010,LR - Youden's J,0.8571660972832276,0.4367321867321867,0.607997447623099
5055,PL,2010,LR - Youden's J,0.8571660972832276,0.4367321867321867,0.607997447623099
5054,PL,2010,NB,0.7371928363182008,0.185,0.450175475911943
5059,PL,2010,NB,0.7371928363182008,0.185,0.450175475911943
5062,PL,2011,DT,0.5092517006802721,0.4837825491091823,0.5034070657301604
5067,PL,2011,DT,0.5092517006802721,0.4837825491091823,0.5034070657301604
5063,PL,2011,LDA,0.5092517006802721,0.4837825491091823,0.5034070657301604
5068,PL,2011,LDA,0.5092517006802721,0.4837825491091823,0.5034070657301604
5061,PL,2011,LR,0.7281632653061224,0.20328917313841938,0.6077156934689171
5066,PL,2011,LR,0.7281632653061224,0.20328917313841938,0.6077156934689171
5060,PL,2011,LR - Youden's J,0.8486157785245639,0.45501519756838904,0.6077156934689171
5065,PL,2011,LR - Youden's J,0.8486157785245639,0.45501519756838904,0.6077156934689171
5064,PL,2011,NB,0.5092517006802721,0.4837825491091823,0.4545549847992452
5069,PL,2011,NB,0.5092517006802721,0.4837825491091823,0.4545549847992452
5072,PL,2012,DT,0.49325170446639766,0.5244993608862377,0.500943989930774
5077,PL,2012,DT,0.49325170446639766,0.5244993608862377,0.500943989930774
5073,PL,2012,LDA,0.7176847085014609,0.21346399659139326,0.5935598909167191
5078,PL,2012,LDA,0.7176847085014609,0.21346399659139326,0.5935598909167191
5071,PL,2012,LR,0.7176847085014609,0.21346399659139326,0.5935598909167191
5076,PL,2012,LR,0.7176847085014609,0.21346399659139326,0.5935598909167191
5070,PL,2012,LR - Youden's J,0.8346166185434712,0.4542424242424242,0.5935598909167191
5075,PL,2012,LR - Youden's J,0.8346166185434712,0.4542424242424242,0.5935598909167191
5074,PL,2012,NB,0.7176847085014609,0.21346399659139326,0.45479337109293055
5079,PL,2012,NB,0.7176847085014609,0.21346399659139326,0.45479337109293055
5082,PL,2013,DT,0.7149817295980512,0.23526498266468548,0.6021893560032607
5087,PL,2013,DT,0.7149817295980512,0.23526498266468548,0.6021893560032607
5083,PL,2013,LDA,0.7149817295980512,0.23526498266468548,0.6021893560032607
5088,PL,2013,LDA,0.7149817295980512,0.23526498266468548,0.6021893560032607
5081,PL,2013,LR,0.7149817295980512,0.23526498266468548,0.6021893560032607
5086,PL,2013,LR,0.7149817295980512,0.23526498266468548,0.6021893560032607
5080,PL,2013,LR - Youden's J,0.8175758638835292,0.4528759528759529,0.6021893560032607
5085,PL,2013,LR - Youden's J,0.8175758638835292,0.4528759528759529,0.6021893560032607
5084,PL,2013,NB,0.7149817295980512,0.23526498266468548,0.45347618493070924
5089,PL,2013,NB,0.7149817295980512,0.23526498266468548,0.45347618493070924
