,country,year,recall_LR_TN,recall_LR_TP,accuracy_LR,recall_DT_TN,recall_DT_TP,accuracy_DT,recall_LDA_TN,recall_LDA_TP,accuracy_LDA,recall_NB_TN,recall_NB_TP,accuracy_NB
10,AT,2008,1.0,0.0,0.9614767255216693,0.9449081803005008,0.08333333333333333,0.9117174959871589,1.0,0.0,0.9614767255216693,0.327212020033389,0.75,0.3434991974317817
11,AT,2009,1.0,0.0,0.9491525423728814,1.0,0.0,0.9491525423728814,1.0,0.0,0.9491525423728814,0.36428571428571427,0.8,0.3864406779661017
12,AT,2010,1.0,0.0,0.9457092819614711,1.0,0.0,0.9457092819614711,1.0,0.0,0.9457092819614711,0.3925925925925926,0.8387096774193549,0.4168126094570928
13,AT,2011,1.0,0.0,0.9572953736654805,1.0,0.0,0.9572953736654805,1.0,0.0,0.9572953736654805,0.37174721189591076,0.875,0.3932384341637011
14,AT,2012,1.0,0.0,0.9679595278246206,0.8222996515679443,0.05263157894736842,0.7976391231028668,1.0,0.0,0.9679595278246206,0.397212543554007,0.8421052631578947,0.4114671163575042
15,AT,2013,1.0,0.0,0.9398625429553265,1.0,0.0,0.9398625429553265,1.0,0.0,0.9398625429553265,0.39488117001828155,0.6857142857142857,0.41237113402061853
16,AT,2014,0.8712871287128713,0.23076923076923078,0.8552123552123552,0.7683168316831683,0.46153846153846156,0.7606177606177607,0.7683168316831683,0.46153846153846156,0.7606177606177607,0.38415841584158417,0.6153846153846154,0.38996138996138996
17,AT,2015,0.8934579439252337,0.27586206896551724,0.8617021276595744,0.7439252336448599,0.3103448275862069,0.7216312056737588,0.7906542056074767,0.41379310344827586,0.7712765957446809,0.3925233644859813,0.7586206896551724,0.41134751773049644
18,AT,2016,0.7713717693836978,0.37142857142857144,0.7453531598513011,0.8648111332007953,0.2571428571428571,0.8252788104089219,0.614314115308151,0.45714285714285713,0.604089219330855,0.41749502982107356,0.6285714285714286,0.4312267657992565
19,AT,2017,0.7078651685393258,0.25,0.6819787985865724,0.7602996254681648,0.1875,0.7279151943462897,0.4794007490636704,0.59375,0.48586572438162545,0.4250936329588015,0.65625,0.4381625441696113
20,AT,2018,1.0,0.0,0.928695652173913,1.0,0.0,0.928695652173913,0.8801498127340824,0.2682926829268293,0.8365217391304348,0.38202247191011235,0.7317073170731707,0.40695652173913044
21,AT,2019,1.0,0.0,0.9584837545126353,1.0,0.0,0.9584837545126353,1.0,0.0,0.9584837545126353,0.3954802259887006,0.8695652173913043,0.4151624548736462
22,BE,1998,0.5888324873096447,0.42857142857142855,0.5781990521327014,0.5279187817258884,0.5,0.5260663507109005,0.5279187817258884,0.5,0.5260663507109005,0.26903553299492383,1.0,0.3175355450236967
23,BE,1999,0.6935483870967742,0.2,0.6567164179104478,0.6935483870967742,0.2,0.6567164179104478,0.6935483870967742,0.2,0.6567164179104478,0.27419354838709675,0.8,0.31343283582089554
24,BE,2000,1.0,0.0,0.9459459459459459,0.9428571428571428,0.25,0.9054054054054054,0.9,0.25,0.8648648648648649,0.15714285714285714,1.0,0.20270270270270271
25,BE,2001,1.0,0.0,0.9545454545454546,1.0,0.0,0.9545454545454546,0.8253968253968254,0.0,0.7878787878787878,0.3333333333333333,0.6666666666666666,0.3484848484848485
26,BE,2002,0.7741935483870968,0.2,0.7313432835820896,0.7741935483870968,0.2,0.7313432835820896,0.7741935483870968,0.2,0.7313432835820896,0.41935483870967744,0.6,0.43283582089552236
27,BE,2003,1.0,0.0,0.9506172839506173,0.8051948051948052,0.0,0.7654320987654321,0.8701298701298701,0.0,0.8271604938271605,0.2727272727272727,0.5,0.2839506172839506
