,country,year,type,TN,TP,accuracy
67,DE,2012,DT,0.9166225716229496,0.16044776119402984,0.8470725513075709
68,DE,2012,LDA,1.0,0.0,0.9080238863339969
66,DE,2012,LR,1.0,0.0,0.9080238863339969
65,DE,2012,LR - Youden's J,1.0,0.0,0.9080238863339969
69,DE,2012,NB,1.0,0.0,0.45136934587137073
72,DE,2013,DT,0.7417111059587295,0.38302583025830256,0.7077095284734853
73,DE,2013,LDA,0.482572068938867,0.6988929889298893,0.5030782146355114
71,DE,2013,LR,1.0,0.0,0.9052049811109556
70,DE,2013,LR - Youden's J,1.0,0.0,0.9052049811109556
74,DE,2013,NB,0.482572068938867,0.6988929889298893,0.46704911151532114
77,DE,2014,DT,0.8935272398462814,0.21623731459797033,0.8339059923034634
78,DE,2014,LDA,0.8318890814558059,0.2818110850897736,0.7834661902144036
76,DE,2014,LR,1.0,0.0,0.9119708631115998
75,DE,2014,LR - Youden's J,1.0,0.0,0.9119708631115998
79,DE,2014,NB,0.8318890814558059,0.2818110850897736,0.45540131940626716
82,DE,2015,DT,0.7149057168512422,0.4,0.6864026133115557
83,DE,2015,LDA,0.4271176294522598,0.8,0.4608683816523751
81,DE,2015,LR,0.8263244537563603,0.29473684210526313,0.7782087927045053
80,DE,2015,LR - Youden's J,0.8709615199151316,0.3179190751445087,0.7782087927045053
84,DE,2015,NB,0.4271176294522598,0.8,0.4608683816523751
87,DE,2016,DT,0.47437764371402813,0.6911196911196911,0.49546165884194054
88,DE,2016,LDA,0.47437764371402813,0.6911196911196911,0.49546165884194054
86,DE,2016,LR,0.47437764371402813,0.6911196911196911,0.49546165884194054
85,DE,2016,LR - Youden's J,0.6259356118676166,0.9222267703643062,0.49546165884194054
89,DE,2016,NB,0.47437764371402813,0.6911196911196911,0.46353677621283257
92,DE,2017,DT,0.6422510937292855,0.4949221394719025,0.6291130833786149
93,DE,2017,LDA,0.47646824870741084,0.6736628300609343,0.4940530097204613
91,DE,2017,LR,0.47646824870741084,0.6736628300609343,0.4940530097204613
90,DE,2017,LR - Youden's J,0.6270046559751681,0.9198388721047331,0.4940530097204613
94,DE,2017,NB,0.47646824870741084,0.6736628300609343,0.46145022037070577
97,DE,2018,DT,0.7310907097835023,0.40141342756183745,0.7019549060021235
98,DE,2018,LDA,0.45944094272403396,0.7208480565371025,0.4825432515145837
96,DE,2018,LR,0.45944094272403396,0.7208480565371025,0.4825432515145837
95,DE,2018,LR - Youden's J,0.6069395500135538,0.9223300970873787,0.4825432515145837
99,DE,2018,NB,0.45944094272403396,0.7208480565371025,0.44319530322903006
102,DE,2019,DT,0.5872256035013336,0.5907421013960323,0.587525025025025
103,DE,2019,LDA,0.5872256035013336,0.5907421013960323,0.587525025025025
101,DE,2019,LR,0.7913560828831293,0.3188831741366642,0.7511261261261262
100,DE,2019,LR - Youden's J,0.8475405380922185,0.36440849342770476,0.7511261261261262
104,DE,2019,NB,0.5872256035013336,0.5907421013960323,0.4321821821821822
